san jose,sunny vale,100,10
san francisco,market street,100,10
new york,flushing,100,10
El Dorado Hills,El Dorado,100,10
Lemon Cove,Tulare,100,10
Dillon Beach,Marin,100,10
Patterson Tract,Tulare,100,10
Redcrest,Humboldt,100,10
Madera,Madera,100,10
Brooktrails,Mendocino,100,10
Geyserville,Sonoma,100,10
Delhi,Merced,100,10
Stanton,Orange,100,10
Cobb,Lake,100,10
Amador City,Amador,100,10
Vallejo,Solano,100,10
Scotts Valley,Santa Cruz,100,10
Fish Camp,Mariposa,100,10
Alpine,San Diego,100,10
Rowland Heights,Los Angeles,100,10
Alta,Placer,100,10
North San Juan,Nevada,100,10
Mountain Mesa,Kern,100,10
Shafter,Kern,100,10
Bombay Beach,Imperial,100,10
Fairfax,Marin,100,10
Round Mountain,Shasta,100,10
Avocado Heights,Los Angeles,100,10
Dunnigan,Yolo,100,10
Strathmore,Tulare,100,10
Inglewood,Los Angeles,100,10
Randsburg,Kern,100,10
Granite Hills,San Diego,100,10
Burlingame,San Mateo,100,10
Keddie,Plumas,100,10
Lodi,San Joaquin,100,10
Saticoy,Ventura,100,10
Avery,Calaveras,100,10
Spreckels,Monterey,100,10
South Whittier,Los Angeles,100,10
Boron,Kern,100,10
Cherry Valley,Riverside,100,10
Milpitas,Santa Clara,100,10
El Sobrante,Riverside,100,10
Exeter,Tulare,100,10
Whitewater,Riverside,100,10
Inyokern,Kern,100,10
Rackerby,Butte,100,10
Pajaro Dunes,Santa Cruz,100,10
Adin,Modoc,100,10
Lake Nacimiento,San Luis Obispo,100,10
Live Oak,Sutter,100,10
Fort Jones,Siskiyou,100,10
Rancho Cordova,Sacramento,100,10
Black Point-Green Point,Marin,100,10
Manhattan Beach,Los Angeles,100,10
Montecito,Santa Barbara,100,10
El Monte,Los Angeles,100,10
Bostonia,San Diego,100,10
Palo Cedro,Shasta,100,10
Belmont,San Mateo,100,10
Robbins,Sutter,100,10
Woodacre,Marin,100,10
Sugarloaf Mountain Park,Tulare,100,10
Willowbrook,Los Angeles,100,10
Mather,Sacramento,100,10
Los Berros,San Luis Obispo,100,10
Waterloo,San Joaquin,100,10
Callender,San Luis Obispo,100,10
Carmet,Sonoma,100,10
Yosemite Lakes,Madera,100,10
Buckhorn,Amador,100,10
Edmundson Acres,Kern,100,10
Grenada,Siskiyou,100,10
Montclair,San Bernardino,100,10
Buck Meadows,Mariposa,100,10
Grimes,Colusa,100,10
Hayfork,Trinity,100,10
Indio,Riverside,100,10
Sierra City,Sierra,100,10
Mission Hills,Santa Barbara,100,10
Valley Acres,Kern,100,10
Montebello,Los Angeles,100,10
Newell,Modoc,100,10
Parksdale,Madera,100,10
Graton,Sonoma,100,10
Livingston,Merced,100,10
Traver,Tulare,100,10
Floriston,Nevada,100,10
Montague,Siskiyou,100,10
Mesa,Inyo,100,10
Lompico,Santa Cruz,100,10
Hidden Meadows,San Diego,100,10
La Vina,Madera,100,10
Lindsay,Tulare,100,10
Bass Lake,Madera,100,10
Calimesa,Riverside,100,10
Thousand Palms,Riverside,100,10
Modesto,Stanislaus,100,10
Pico Rivera,Los Angeles,100,10
East Rancho Dominguez,Los Angeles,100,10
Maricopa,Kern,100,10
Wilton,Sacramento,100,10
Ocotillo,Imperial,100,10
Klamath,Del Norte,100,10
Costa Mesa,Orange,100,10
Oceano,San Luis Obispo,100,10
Robinson Mill,Butte,100,10
Colusa,Colusa,100,10
Meadowbrook,Riverside,100,10
Hidden Valley Lake,Lake,100,10
Caruthers,Fresno,100,10
Potrero,San Diego,100,10
Laton,Fresno,100,10
Hiouchi,Del Norte,100,10
Fuller Acres,Kern,100,10
Herald,Sacramento,100,10
Furnace Creek,Inyo,100,10
Lucerne Valley,San Bernardino,100,10
Volcano,Amador,100,10
Redding,Shasta,100,10
Concord,Contra Costa,100,10
West Modesto,Stanislaus,100,10
Golden Hills,Kern,100,10
Santa Fe Springs,Los Angeles,100,10
Fellows,Kern,100,10
Forestville,Sonoma,100,10
Los Molinos,Tehama,100,10
Banning,Riverside,100,10
Sacramento,Sacramento,100,10
Independence,Inyo,100,10
Spring Valley Lake,San Bernardino,100,10
Valley Ford,Sonoma,100,10
Plumas Eureka,Plumas,100,10
Westside,Fresno,100,10
Country Club,San Joaquin,100,10
East Quincy,Plumas,100,10
Rancho San Diego,San Diego,100,10
Lewiston,Trinity,100,10
Bonadelle Ranchos-Madera Ranchos,Madera,100,10
Teviston,Tulare,100,10
Lagunitas-Forest Knolls,Marin,100,10
Palo Alto,Santa Clara,100,10
Pearsonville,Inyo,100,10
Bonita,San Diego,100,10
Del Rio,Stanislaus,100,10
Danville,Contra Costa,100,10
Casa de Oro-Mount Helix,San Diego,100,10
Cloverdale,Sonoma,100,10
La Quinta,Riverside,100,10
Roseland,Sonoma,100,10
Big Bear City,San Bernardino,100,10
Chinese Camp,Tuolumne,100,10
Washington,Nevada,100,10
San Jacinto,Riverside,100,10
Carrick,Siskiyou,100,10
Meadow Vista,Placer,100,10
Old Fig Garden,Fresno,100,10
Likely,Modoc,100,10
Sugarloaf Saw Mill,Tulare,100,10
Riverdale Park,Stanislaus,100,10
Tulelake,Siskiyou,100,10
Las Flores,Orange,100,10
Biola,Fresno,100,10
Los Ranchos,San Luis Obispo,100,10
San Mateo,San Mateo,100,10
Livermore,Alameda,100,10
Diablo Grande,Stanislaus,100,10
Idyllwild-Pine Cove,Riverside,100,10
Morongo Valley,San Bernardino,100,10
Thornton,San Joaquin,100,10
San Diego,San Diego,100,10
Bermuda Dunes,Riverside,100,10
Copperopolis,Calaveras,100,10
La Crescenta-Montrose,Los Angeles,100,10
Pine Canyon,Monterey,100,10
Brookdale,Santa Cruz,100,10
Signal Hill,Los Angeles,100,10
Stirling City,Butte,100,10
Loma Rica,Yuba,100,10
Tamalpais-Homestead Valley,Marin,100,10
Tuttle,Merced,100,10
West Park,Fresno,100,10
Pleasanton,Alameda,100,10
March ARB,Riverside,100,10
Big Lagoon,Humboldt,100,10
Muscoy,San Bernardino,100,10
West Covina,Los Angeles,100,10
Bellflower,Los Angeles,100,10
Allensworth,Tulare,100,10
Lemon Hill,Sacramento,100,10
Fort Dick,Del Norte,100,10
Rancho Cucamonga,San Bernardino,100,10
Rio del Mar,Santa Cruz,100,10
Agoura Hills,Los Angeles,100,10
St. Helena,Napa,100,10
Dorris,Siskiyou,100,10
Lenwood,San Bernardino,100,10
Garberville,Humboldt,100,10
Carmichael,Sacramento,100,10
Richvale,Butte,100,10
New Cuyama,Santa Barbara,100,10
Tomales,Marin,100,10
Anza,Riverside,100,10
Rodriguez Camp,Tulare,100,10
Ballard,Santa Barbara,100,10
Jacumba,San Diego,100,10
Westley,Stanislaus,100,10
Romoland,Riverside,100,10
Santa Ana,Orange,100,10
Sunol,Alameda,100,10
Lancaster,Los Angeles,100,10
Moorpark,Ventura,100,10
Graeagle,Plumas,100,10
Descanso,San Diego,100,10
Isleton,Sacramento,100,10
Orange Cove,Fresno,100,10
Pollock Pines,El Dorado,100,10
Macdoel,Siskiyou,100,10
Vernon,Los Angeles,100,10
West Sacramento,Yolo,100,10
San Geronimo,Marin,100,10
Parlier,Fresno,100,10
Long Barn,Tuolumne,100,10
Calexico,Imperial,100,10
Fairhaven,Humboldt,100,10
Compton,Los Angeles,100,10
San Andreas,Calaveras,100,10
Courtland,Sacramento,100,10
Herlong,Lassen,100,10
Desert Edge,Riverside,100,10
Chester,Plumas,100,10
Fort Bragg,Mendocino,100,10
Bootjack,Mariposa,100,10
Wheatland,Yuba,100,10
Chino,San Bernardino,100,10
Valley Ranch,Plumas,100,10
Valley Center,San Diego,100,10
Prunedale,Monterey,100,10
Taft Heights,Kern,100,10
Twain,Plumas,100,10
Grizzly Flats,El Dorado,100,10
Junction City,Trinity,100,10
Victorville,San Bernardino,100,10
Taft Mosswood,San Joaquin,100,10
Cedarville,Modoc,100,10
West Goshen,Tulare,100,10
Onyx,Kern,100,10
Downieville,Sierra,100,10
Rolling Hills,Los Angeles,100,10
Mesa Verde,Riverside,100,10
Sheridan,Placer,100,10
Hickman,Stanislaus,100,10
Mission Canyon,Santa Barbara,100,10
Running Springs,San Bernardino,100,10
Davenport,Santa Cruz,100,10
La Honda,San Mateo,100,10
Posey,Tulare,100,10
Jamul,San Diego,100,10
Ladera Heights,Los Angeles,100,10
Searles Valley,San Bernardino,100,10
Kingsburg,Fresno,100,10
Leona Valley,Los Angeles,100,10
Oakville,Napa,100,10
Elmira,Solano,100,10
Auburn Lake Trails,El Dorado,100,10
Lake Almanor Peninsula,Plumas,100,10
Eldridge,Sonoma,100,10
Shoshone,Inyo,100,10
Coachella,Riverside,100,10
Toro Canyon,Santa Barbara,100,10
Greenview,Siskiyou,100,10
Villa Park,Orange,100,10
Campo,San Diego,100,10
Morgan Hill,Santa Clara,100,10
Imperial Beach,San Diego,100,10
Norco,Riverside,100,10
Riverdale,Fresno,100,10
Los Altos,Santa Clara,100,10
Rolling Hills Estates,Los Angeles,100,10
Middletown,Lake,100,10
Sun Village,Los Angeles,100,10
Pismo Beach,San Luis Obispo,100,10
Campbell,Santa Clara,100,10
Fountain Valley,Orange,100,10
Trona,Inyo,100,10
Keeler,Inyo,100,10
Carmel Valley Village,Monterey,100,10
El Centro,Imperial,100,10